epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,539.292,0.3504,0.31202,0.88198,0.97991,0.96781,0.9895,0.93094,0.36802,0.30721,0.76307,0.000848969,0.000848969,0.000848969
43,551.489,0.35797,0.31901,0.88357,0.98087,0.9645,0.99194,0.94029,0.33437,0.28426,0.75517,0.000834822,0.000834822,0.000834822
44,563.435,0.36563,0.33043,0.88259,0.99014,0.99258,0.9942,0.943,0.35057,0.29051,0.76689,0.000820675,0.000820675,0.000820675
45,575.453,0.35703,0.32385,0.88389,0.97883,0.99242,0.9933,0.94088,0.3458,0.2872,0.75969,0.000806528,0.000806528,0.000806528
46,587.599,0.3543,0.31116,0.87588,0.98709,0.9977,0.995,0.95251,0.34192,0.25979,0.74199,0.00079238,0.00079238,0.00079238
47,599.673,0.35357,0.30503,0.8867,0.93979,0.99393,0.995,0.9427,0.33739,0.2802,0.73688,0.000778233,0.000778233,0.000778233
48,611.837,0.3502,0.31295,0.87424,0.99216,0.99412,0.995,0.96118,0.29858,0.23488,0.70931,0.000764086,0.000764086,0.000764086
49,624.025,0.34092,0.29791,0.8758,0.97562,0.9967,0.99461,0.95462,0.32338,0.27275,0.72671,0.000749939,0.000749939,0.000749939
50,636.053,0.35033,0.30371,0.88019,0.96474,0.94523,0.99151,0.94667,0.33779,0.31868,0.73777,0.000735792,0.000735792,0.000735792
51,648.011,0.33461,0.29063,0.871,0.98927,0.99242,0.99485,0.96131,0.30576,0.23216,0.70899,0.000721645,0.000721645,0.000721645
52,660.186,0.33812,0.28998,0.87636,0.97179,0.9898,0.99362,0.95393,0.31557,0.2463,0.72073,0.000707498,0.000707498,0.000707498
53,672.268,0.33136,0.29391,0.87258,0.98761,1,0.99419,0.96684,0.29643,0.23954,0.71515,0.000693351,0.000693351,0.000693351
54,684.415,0.33406,0.27538,0.87783,0.98894,0.98464,0.99432,0.94825,0.33042,0.25367,0.74324,0.000679204,0.000679204,0.000679204
55,696.4,0.32972,0.29143,0.86806,0.98433,0.9881,0.99421,0.96478,0.29841,0.24944,0.71826,0.000665057,0.000665057,0.000665057
56,708.531,0.32742,0.27076,0.87319,0.99434,0.98548,0.99395,0.96554,0.29166,0.24535,0.7114,0.000650909,0.000650909,0.000650909
57,720.477,0.32747,0.27764,0.87916,0.99456,0.99148,0.99485,0.96325,0.30758,0.24036,0.72715,0.000636762,0.000636762,0.000636762
58,732.431,0.33049,0.27949,0.87673,0.99102,0.98815,0.99319,0.96811,0.30216,0.25815,0.73321,0.000622615,0.000622615,0.000622615
59,744.747,0.32873,0.27564,0.87261,0.99729,0.99527,0.995,0.97158,0.3106,0.23769,0.73556,0.000608468,0.000608468,0.000608468
60,756.91,0.33742,0.27998,0.87721,0.99765,0.99897,0.995,0.96403,0.30378,0.20996,0.7262,0.000594321,0.000594321,0.000594321
61,768.986,0.33344,0.27682,0.87829,0.99313,0.98924,0.99453,0.96109,0.30978,0.23191,0.7192,0.000580174,0.000580174,0.000580174
62,781.087,0.32677,0.27704,0.87706,0.98448,0.99003,0.99472,0.96412,0.29772,0.22309,0.69836,0.000566027,0.000566027,0.000566027
63,793.833,0.31512,0.25776,0.86864,0.98712,0.97504,0.99326,0.95783,0.29868,0.24297,0.70306,0.00055188,0.00055188,0.00055188
64,806.246,0.33387,0.27085,0.8755,0.9951,0.98695,0.99486,0.96083,0.30264,0.23751,0.70672,0.000537733,0.000537733,0.000537733
65,818.504,0.31395,0.25533,0.86604,0.99246,0.99883,0.995,0.96696,0.29445,0.21684,0.70679,0.000523586,0.000523586,0.000523586
66,830.697,0.31401,0.25036,0.87136,0.96626,1,0.995,0.96402,0.28226,0.22021,0.70477,0.000509438,0.000509438,0.000509438
67,842.614,0.31403,0.26242,0.86903,0.97965,0.99883,0.99367,0.96564,0.30079,0.21863,0.71459,0.000495291,0.000495291,0.000495291
68,854.567,0.31074,0.25758,0.86936,0.97726,0.97187,0.99414,0.95925,0.30379,0.24959,0.71464,0.000481144,0.000481144,0.000481144
69,866.558,0.3147,0.25392,0.86783,0.99566,0.98714,0.995,0.97233,0.27558,0.20819,0.69993,0.000466997,0.000466997,0.000466997
70,878.566,0.31839,0.2637,0.87363,0.99669,0.99931,0.995,0.96789,0.29161,0.20554,0.71257,0.00045285,0.00045285,0.00045285
71,890.723,0.31216,0.2502,0.87365,0.99632,0.99331,0.995,0.97145,0.28422,0.20013,0.71313,0.000438703,0.000438703,0.000438703
72,902.878,0.30985,0.24411,0.86781,0.99494,0.99876,0.995,0.97223,0.28153,0.2,0.70501,0.000424556,0.000424556,0.000424556
73,914.992,0.30308,0.23683,0.86168,0.99559,0.99242,0.99485,0.97248,0.27895,0.20374,0.70366,0.000410409,0.000410409,0.000410409
74,926.976,0.30212,0.24437,0.86347,0.99356,0.99812,0.995,0.97182,0.27962,0.20158,0.705,0.000396262,0.000396262,0.000396262
75,938.999,0.29987,0.23093,0.86481,0.99768,1,0.995,0.97248,0.27232,0.19025,0.70151,0.000382115,0.000382115,0.000382115
76,951.209,0.30196,0.2358,0.86407,0.99058,1,0.99485,0.97589,0.26562,0.18542,0.69242,0.000367967,0.000367967,0.000367967
77,963.495,0.29893,0.23366,0.86658,0.99856,0.99794,0.995,0.97501,0.2771,0.19048,0.69219,0.00035382,0.00035382,0.00035382
78,975.564,0.29723,0.23562,0.86582,0.98496,0.99419,0.995,0.97887,0.26621,0.18751,0.69167,0.000339673,0.000339673,0.000339673
79,987.81,0.29391,0.23185,0.86611,0.98901,0.98485,0.9947,0.97047,0.27222,0.19684,0.69015,0.000325526,0.000325526,0.000325526
80,999.794,0.28951,0.21764,0.86027,0.98456,0.99648,0.99456,0.9751,0.26608,0.19096,0.69262,0.000311379,0.000311379,0.000311379
81,1011.7,0.29061,0.22349,0.86538,0.98689,0.98485,0.9947,0.97232,0.27563,0.19453,0.69269,0.000297232,0.000297232,0.000297232
82,1023.85,0.2943,0.23148,0.86516,0.99309,0.99242,0.99485,0.97502,0.26392,0.19006,0.69418,0.000283085,0.000283085,0.000283085
83,1035.93,0.28503,0.2255,0.86484,0.99018,0.98752,0.99331,0.9705,0.27528,0.20652,0.69991,0.000268938,0.000268938,0.000268938
84,1047.9,0.30114,0.22922,0.8649,0.9951,0.98925,0.99471,0.97068,0.2695,0.2017,0.6929,0.000254791,0.000254791,0.000254791
85,1060.08,0.28012,0.21723,0.86219,0.98782,1,0.995,0.97868,0.25955,0.19251,0.68807,0.000240644,0.000240644,0.000240644
86,1072.24,0.28441,0.2113,0.8623,0.99626,1,0.995,0.97359,0.26153,0.18482,0.68588,0.000226497,0.000226497,0.000226497
87,1084.28,0.28362,0.22075,0.86226,0.99724,0.99867,0.995,0.97897,0.25478,0.18384,0.68693,0.000212349,0.000212349,0.000212349
88,1096.22,0.27658,0.20569,0.86426,0.99458,1,0.995,0.97859,0.24474,0.18126,0.68349,0.000198202,0.000198202,0.000198202
